epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.488,2.20366,5.01611,1.22397,0,0,0,0,2.18034,4.52168,1.23151,0.00031,0.00031,0.06931
2,98.7892,2.2232,4.66743,1.25699,0,0,0,0,1.92154,4.38398,1.10796,0.000626881,0.000626881,0.0376269
3,145.189,1.74259,4.40173,1.06046,0,0,0,0,1.73555,4.27623,1.03412,0.000940595,0.000940595,0.00594059
4,191.042,1.60373,4.16523,1.00447,0,0,0,0,1.62144,4.01456,1.00575,0.00098515,0.00098515,0.00098515
5,236.789,1.67439,3.9582,1.04692,0.58333,0.5,0.53362,0.33455,1.57599,3.57296,0.99976,0.0009802,0.0009802,0.0009802
6,288.422,1.60601,3.64031,0.98147,0.78571,0.78571,0.77055,0.49178,1.64303,2.80243,1.02776,0.00097525,0.00097525,0.00097525
7,332.243,1.59506,2.94903,0.99338,0.92265,0.90476,0.93631,0.61361,1.46974,2.83959,1.00052,0.0009703,0.0009703,0.0009703
8,376.517,1.59255,2.50338,0.98197,0.9727,0.95238,0.97207,0.61213,1.51028,3.06168,1.01818,0.00096535,0.00096535,0.00096535
9,423.25,1.53384,2.46955,1.0023,1,1,0.995,0.61231,1.47278,2.23692,0.99328,0.0009604,0.0009604,0.0009604
10,471.048,1.35446,2.02689,0.94965,1,1,0.995,0.59323,1.44708,1.80199,0.9882,0.00095545,0.00095545,0.00095545
11,518.266,1.39549,1.98981,0.9266,1,1,0.995,0.58687,1.49564,1.60622,0.9872,0.0009505,0.0009505,0.0009505
12,564.05,1.44694,2.02181,0.95582,1,1,0.995,0.60536,1.45441,1.51832,0.98149,0.00094555,0.00094555,0.00094555
13,613.504,1.33038,1.75924,0.92669,1,1,0.995,0.61663,1.43167,1.4298,0.96892,0.0009406,0.0009406,0.0009406
14,664.462,1.33359,1.82391,0.90356,1,1,0.995,0.65149,1.38757,1.33884,0.96344,0.00093565,0.00093565,0.00093565
15,715.102,1.24731,1.82545,0.8933,1,1,0.995,0.64128,1.39572,1.31409,0.96008,0.0009307,0.0009307,0.0009307
16,763.717,1.31887,1.5996,0.90728,1,1,0.995,0.64595,1.41069,1.27688,0.95536,0.00092575,0.00092575,0.00092575
17,807.215,1.36175,1.63811,0.91529,1,1,0.995,0.65575,1.41825,1.28868,0.95535,0.0009208,0.0009208,0.0009208
18,853.459,1.29007,1.62928,0.92234,1,1,0.995,0.66323,1.36598,1.27461,0.94915,0.00091585,0.00091585,0.00091585
19,903.557,1.23284,1.45687,0.89697,1,1,0.995,0.66939,1.39413,1.28551,0.94695,0.0009109,0.0009109,0.0009109
20,952.767,1.25431,1.53845,0.89628,1,1,0.995,0.67008,1.35665,1.24242,0.94232,0.00090595,0.00090595,0.00090595
21,1001.32,1.13909,1.5423,0.87465,1,1,0.995,0.66201,1.3753,1.24434,0.94929,0.000901,0.000901,0.000901
22,1044.98,1.16055,1.3702,0.92788,1,1,0.995,0.66475,1.36211,1.2479,0.93793,0.00089605,0.00089605,0.00089605
23,1090.85,1.21277,1.34715,0.86609,1,1,0.995,0.67377,1.32777,1.19776,0.92822,0.0008911,0.0008911,0.0008911
24,1140.52,1.20635,1.39036,0.90769,1,1,0.995,0.65619,1.34849,1.14008,0.93563,0.00088615,0.00088615,0.00088615
25,1186.44,1.02412,1.26419,0.86545,1,1,0.995,0.68811,1.31281,1.13674,0.92282,0.0008812,0.0008812,0.0008812
26,1234.11,1.11606,1.38786,0.87076,1,1,0.995,0.69286,1.30512,1.13766,0.9174,0.00087625,0.00087625,0.00087625
27,1276.98,1.12394,1.34956,0.87209,1,1,0.995,0.67487,1.31769,1.1152,0.91694,0.0008713,0.0008713,0.0008713
28,1322.79,1.07675,1.21914,0.88164,1,1,0.995,0.65105,1.3305,1.09994,0.92232,0.00086635,0.00086635,0.00086635
29,1368.74,1.02471,1.2678,0.86166,1,1,0.995,0.65686,1.36974,1.08782,0.93459,0.0008614,0.0008614,0.0008614
30,1412.83,1.06137,1.20216,0.8706,1,1,0.995,0.629,1.37689,1.09421,0.93483,0.00085645,0.00085645,0.00085645
31,1476.27,1.00994,1.19928,0.86229,1,1,0.995,0.63385,1.38395,1.05118,0.93112,0.0008515,0.0008515,0.0008515
32,1521.43,0.99915,1.31346,0.84387,1,1,0.995,0.65412,1.33211,1.08685,0.92977,0.00084655,0.00084655,0.00084655
33,1566.14,1.17444,1.24658,0.87144,1,1,0.995,0.63951,1.34508,1.05922,0.92898,0.0008416,0.0008416,0.0008416
34,1613.46,1.07418,1.20944,0.85177,1,1,0.995,0.67215,1.33085,1.05541,0.92345,0.00083665,0.00083665,0.00083665
35,1679.46,1.02241,1.23124,0.85813,1,1,0.995,0.65911,1.31763,1.0867,0.92002,0.0008317,0.0008317,0.0008317
36,1732.12,1.06897,1.18077,0.85288,1,1,0.995,0.6786,1.34255,1.0779,0.92591,0.00082675,0.00082675,0.00082675
37,1777.25,1.07527,1.12768,0.87769,1,1,0.995,0.67304,1.36389,1.05304,0.92951,0.0008218,0.0008218,0.0008218
38,1822.09,1.08274,1.17849,0.88063,1,1,0.995,0.66423,1.36825,1.05227,0.92978,0.00081685,0.00081685,0.00081685
39,1865.73,1.03792,1.13715,0.84802,1,1,0.995,0.65855,1.32228,1.04093,0.92425,0.0008119,0.0008119,0.0008119
40,1942.12,1.01068,1.10216,0.8747,1,1,0.995,0.64502,1.33472,1.04114,0.92868,0.00080695,0.00080695,0.00080695
41,1989.65,1.04068,1.17021,0.8532,1,1,0.995,0.63699,1.34417,1.05731,0.93129,0.000802,0.000802,0.000802
42,2033.59,0.97287,1.08131,0.84289,1,1,0.995,0.67326,1.31357,1.00765,0.92716,0.00079705,0.00079705,0.00079705
43,2077.86,1.00231,1.07137,0.84828,1,1,0.995,0.64606,1.33922,1.0398,0.93288,0.0007921,0.0007921,0.0007921
44,2123.38,1.05055,1.04649,0.87214,1,1,0.995,0.66561,1.30894,1.04641,0.91836,0.00078715,0.00078715,0.00078715
45,2187.9,0.98876,1.14681,0.86149,1,1,0.995,0.66395,1.2696,1.05394,0.9152,0.0007822,0.0007822,0.0007822
46,2232.58,0.96478,1.07435,0.84521,1,1,0.995,0.64513,1.29336,1.10405,0.91574,0.00077725,0.00077725,0.00077725
47,2277.91,1.06341,1.12376,0.86889,1,1,0.995,0.62152,1.34088,1.0478,0.93169,0.0007723,0.0007723,0.0007723
48,2323.24,0.96938,0.98627,0.85625,1,1,0.995,0.61761,1.35687,1.01842,0.93126,0.00076735,0.00076735,0.00076735
49,2368.38,1.00735,1.14008,0.83718,1,1,0.995,0.6517,1.32753,0.98942,0.91941,0.0007624,0.0007624,0.0007624
50,2431.94,1.02743,1.08727,0.85834,1,1,0.995,0.67382,1.27419,1.01839,0.90604,0.00075745,0.00075745,0.00075745
51,2474.97,0.97941,1.14736,0.8539,1,1,0.995,0.66262,1.27574,0.9741,0.91084,0.0007525,0.0007525,0.0007525
52,2519.16,0.98395,1.11191,0.84652,1,1,0.995,0.65076,1.29303,0.96179,0.91715,0.00074755,0.00074755,0.00074755
53,2562.72,0.97866,1.08109,0.85453,1,1,0.995,0.6558,1.28359,1.0089,0.91347,0.0007426,0.0007426,0.0007426
54,2606.75,0.9319,1.02444,0.84303,1,1,0.995,0.67293,1.25386,0.97297,0.90866,0.00073765,0.00073765,0.00073765
55,2661.21,0.93293,1.06318,0.87259,1,1,0.995,0.6412,1.29173,0.99272,0.92005,0.0007327,0.0007327,0.0007327
56,2703.19,1.00403,1.03821,0.861,1,1,0.995,0.63944,1.30835,0.968,0.92269,0.00072775,0.00072775,0.00072775
57,2746.28,0.90168,0.95444,0.84401,1,1,0.995,0.6331,1.32557,0.96792,0.92779,0.0007228,0.0007228,0.0007228
58,2790.95,0.97762,1.00164,0.83866,1,1,0.995,0.65059,1.30476,1.00131,0.92559,0.00071785,0.00071785,0.00071785
59,2840,0.98274,1.06634,0.84449,1,1,0.995,0.67019,1.30016,0.97537,0.91929,0.0007129,0.0007129,0.0007129
60,2901.06,0.91771,0.99405,0.85256,1,1,0.995,0.68008,1.30331,0.95103,0.91832,0.00070795,0.00070795,0.00070795
61,2943.51,0.93035,0.94466,0.84422,1,1,0.995,0.68074,1.27401,0.93325,0.91173,0.000703,0.000703,0.000703
62,2987.33,0.94611,0.93187,0.85776,1,1,0.995,0.67945,1.24454,0.90358,0.90909,0.00069805,0.00069805,0.00069805
63,3031.7,0.91158,0.97939,0.87148,1,1,0.995,0.65949,1.28388,0.9108,0.91565,0.0006931,0.0006931,0.0006931
64,3078.71,0.86143,0.95277,0.82942,1,1,0.995,0.65801,1.30103,0.90244,0.91851,0.00068815,0.00068815,0.00068815
65,3138.56,0.95742,0.98465,0.83949,1,1,0.995,0.67601,1.24841,0.89474,0.90526,0.0006832,0.0006832,0.0006832
66,3180.79,0.88811,0.9147,0.83219,1,1,0.995,0.62363,1.35344,0.90835,0.92649,0.00067825,0.00067825,0.00067825
67,3223,0.91782,1.01826,0.80601,1,1,0.995,0.67701,1.25661,0.90432,0.90676,0.0006733,0.0006733,0.0006733
68,3268.4,0.91786,0.9302,0.84062,1,1,0.995,0.62566,1.34094,0.89444,0.93017,0.00066835,0.00066835,0.00066835
69,3323.22,0.88624,0.90367,0.83261,1,1,0.995,0.63136,1.2811,0.91083,0.91605,0.0006634,0.0006634,0.0006634
70,3372.12,0.93188,0.87068,0.85103,1,1,0.995,0.61579,1.34383,0.91106,0.92575,0.00065845,0.00065845,0.00065845
71,3413.64,0.90402,0.89709,0.8329,1,1,0.995,0.63746,1.30526,0.92401,0.91372,0.0006535,0.0006535,0.0006535
72,3455.53,0.9162,0.90462,0.82564,1,1,0.995,0.61674,1.35204,0.94154,0.92688,0.00064855,0.00064855,0.00064855
73,3499.35,0.86631,0.90022,0.82999,1,1,0.995,0.64362,1.33052,0.92388,0.92508,0.0006436,0.0006436,0.0006436
74,3553.22,0.88378,0.96151,0.81121,1,1,0.995,0.61776,1.33034,0.90959,0.92843,0.00063865,0.00063865,0.00063865
75,3602.29,0.8469,0.8458,0.8313,1,1,0.995,0.60895,1.32209,0.889,0.92994,0.0006337,0.0006337,0.0006337
